city,state,lat,lng,countyName
MEQUON,WI,43.2352,-87.9838,OZAUKEE
FREMONT,WI,44.2602,-88.8715,WAUPACA
ANTIGO,WI,45.1413,-89.1556,LANGLADE
BRULE,WI,46.5589,-91.5712,DOUGLAS
CASHTON,WI,43.7413,-90.7866,MONROE
ALBANY,WI,42.7069,-89.4367,GREEN
SOBIESKI,WI,44.7227,-88.0659,OCONTO
RICHFIELD,WI,43.2372,-88.2413,WASHINGTON
OCONTO FALLS,WI,44.8738,-88.1444,OCONTO
HORTONVILLE,WI,44.3368,-88.6361,OUTAGAMIE
WATERLOO,WI,43.1835,-88.9898,JEFFERSON
CRANDON,WI,45.568600000000004,-88.8973,FOREST
EXELAND,WI,45.667,-91.2426,SAWYER
LONGVIEW,WA,46.1461,-122.9629,COWLITZ
YAKIMA,WA,46.5923,-120.5496,YAKIMA
POULSBO,WA,47.7417,-122.6407,KITSAP
FREELAND,WA,48.0185,-122.5358,ISLAND
MERCER ISLAND,WA,47.5661,-122.232,KING
SPANAWAY,WA,47.0979,-122.4233,PIERCE
DUPONT,WA,47.1079,-122.6496,PIERCE
HARRINGTON,WA,47.4802,-118.2554,LINCOLN
MOUNTLAKE TERRACE,WA,47.7921,-122.3076,SNOHOMISH
EVERETT,WA,47.9525,-122.1669,SNOHOMISH
FALL CITY,WA,47.5717,-121.9134,KING
PORT ANGELES,WA,48.1142,-123.4565,CLALLAM
TACOMA,WA,47.2431,-122.4531,PIERCE
BELLINGHAM,WA,48.7543,-122.4687,WHATCOM
FEDERAL WAY,WA,47.3091,-122.3358,KING
MARYSVILLE,WA,48.0809,-122.1561,SNOHOMISH
SEQUIM,WA,48.0746,-123.0944,CLALLAM
CAMAS,WA,45.6005,-122.4305,CLARK
BREMERTON,WA,47.5436,-122.7122,KITSAP
AUBURN,WA,47.3039,-122.2108,KING
SEATTLE,WA,47.6211,-122.3244,KING
SULTAN,WA,47.871,-121.8043,SNOHOMISH
GOLDENDALE,WA,45.8191,-120.8233,KLICKITAT
ASHFORD,WA,46.7537,-122.0113,PIERCE
OLYMPIA,WA,47.0417,-122.8959,THURSTON
SNOHOMISH,WA,47.9276,-122.0968,SNOHOMISH
LAKEWOOD,WA,47.1628,-122.5299,PIERCE
REARDAN,WA,47.6697,-117.8779,LINCOLN
ISSAQUAH,WA,47.544,-122.0471,KING
RICHLAND,WA,46.2824,-119.2938,BENTON
KIRKLAND,WA,47.6974,-122.2054,KING
HOQUIAM,WA,46.9863,-123.9022,GRAYS HARBOR
COULEE CITY,WA,47.6122,-119.2895,GRANT
SILVERDALE,WA,47.6663,-122.6828,KITSAP
FORKS,WA,47.9528,-124.3904,CLALLAM
VANCOUVER,WA,45.6366,-122.5967,CLARK
KENT,WA,47.3887,-122.2129,KING
KENNEWICK,WA,46.1978,-119.1732,BENTON
BRIER,WA,47.7924,-122.2734,SNOHOMISH
QUINCY,WA,47.2344,-119.8531,GRANT
KINGSTON,WA,47.8014,-122.4989,KITSAP
BONNEY LAKE,WA,47.1791,-122.17,PIERCE
BELLEVUE,WA,47.5951,-122.1535,KING
ANACORTES,WA,48.4878,-122.6292,SKAGIT
SPOKANE,WA,47.6671,-117.433,SPOKANE
ORTING,WA,47.0966,-122.2111,PIERCE
NORTH BEND,WA,47.49,-121.7742,KING
OMAK,WA,48.4228,-119.5159,OKANOGAN
FERNDALE,WA,48.8525,-122.5893,WHATCOM
WENATCHEE,WA,47.4356,-120.3283,CHELAN
GIG HARBOR,WA,47.3353,-122.5964,PIERCE
UNIVERSITY PLACE,WA,47.2147,-122.5461,PIERCE
ARLINGTON,WA,48.1698,-122.1443,SNOHOMISH
LACEY,WA,47.046,-122.7934,THURSTON
GRAHAM,WA,47.0407,-122.2756,PIERCE
MONROE,WA,47.8595,-121.9852,SNOHOMISH
MOSES LAKE,WA,47.128,-119.2761,GRANT
YACOLT,WA,45.8653,-122.4062,CLARK
